date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-19,86,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-20,82,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-21,96,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-22,98,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-23,92,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-24,97,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-25,91,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-26,83,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-27,79,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-28,100,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-29,99,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-30,92,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-31,86,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-01,81,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-02,89,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-03,85,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-04,100,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-05,93,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-06,89,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-07,86,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-08,86,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-09,82,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-10,86,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-11,98,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-12,88,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-13,95,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-14,93,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-15,88,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-16,75,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-17,79,GELADEIRA,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-19,54,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-20,52,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-21,62,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-22,74,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-23,60,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-24,57,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-25,55,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-26,54,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-27,54,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-28,57,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-29,67,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-30,59,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-31,57,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-01,53,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-02,55,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-03,49,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-04,64,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-05,67,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-06,62,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-07,55,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-08,52,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-09,53,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-10,52,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-11,59,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-12,60,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-13,55,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-14,55,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-15,52,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-16,51,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-17,49,FOGÃO,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-19,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-20,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-21,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-22,14,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-23,18,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-24,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-25,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-26,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-27,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-28,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-29,17,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
